circle,division,subdivision,section,area,catcode,catdesc,totservices,billedservices,units,load
ADILABAD,UTNOOR,UTNOOR,UTNOOR,VADONI,5,Agriculture,55,0,0,273.24
ADILABAD,UTNOOR,UTNOOR,UTNOOR,VADONI,5,Agriculture,55,0,0,273.24
ADILABAD,UTNOOR,UTNOOR,UTNOOR,WADGALPOOR (B),5,Agriculture,27,0,0,135.0
ADILABAD,UTNOOR,UTNOOR,UTNOOR,WADGALPOOR (K),5,Agriculture,8,0,0,40.0
ADILABAD,UTNOOR,UTNOOR,UTNOOR,YENDA,5,Agriculture,91,0,0,455.0
ADILABAD,UTNOOR,UTNOOR,UTNOOR,YENKA,5,Agriculture,72,0,0,360.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD,5,Agriculture,60,0,0,300.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD,GODAVELLI COLONY,5,Agriculture,9,0,0,45.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),ADA DASNAPUR,5,Agriculture,9,0,0,45.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),ANKUSAPOOR,5,Agriculture,6,0,0,30.0
ASIFABAD,ASIFABAD,ASIFABAD,ASIFABAD (RURAL),APPAPALLI,5,Agriculture,8,0,0,40.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,JAIRAMGUDA,5,Agriculture,2,0,0,10.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,JERI,5,Agriculture,20,0,0,100.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KALE - B,5,Agriculture,52,0,0,260.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KALIKURD,5,Agriculture,7,0,0,35.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KARANJIWADA,5,Agriculture,1,0,0,5.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KATTIGUDA,5,Agriculture,4,0,0,20.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KERAMERI,5,Agriculture,113,0,0,565.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KESULAGUDA,5,Agriculture,30,0,0,150.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KHARI,5,Agriculture,12,0,0,60.0
ASIFABAD,ASIFABAD,ASIFABAD RURAL,KERAMERI,KOTARI,5,Agriculture,5,0,0,25.0
