rank,peak,all_time_peak,artist,years,shows
1,1,2,Taylor Swift,2023–2024,56
2,1,0,Beyoncé,2023,56
3,0,0,Madonna,2008–2009,85
4,0,0,Pink,2018–2019,156
5,0,0,Taylor Swift,2018,53
6,0,0,Madonna,2012,88
7,0,0,Celine Dion,2008–2009,131
7,0,0,Pink,2023–2024,41
9,0,0,Beyoncé,2016,49
10,0,0,Taylor Swift,2015,85
11,0,0,Beyoncé,2013–2014,132
12,0,0,Lady Gaga,2009–2011,203
13,0,0,Katy Perry,2014–2015,151
14,0,0,Cher,2002–2005,325
15,0,0,Madonna,2006,60
16,0,0,Pink,2013–2014,142
17,0,0,Lady Gaga,2012–2013,98
18,0,0,Madonna,2015–2016,82
19,0,0,Adele,2016–2017,121
20,0,0,Taylor Swift,2013–2014,86
